Establecimiento,Examenes,fecha,Numero de PCR
Hospitales público,realizados,2020-08-09,816081.0
Privados,realizados,2020-08-09,923498.0
Instituto de salud pública,informados ultimo dia,2020-08-09,1202.0
Hospitales público,informados ultimo dia,2020-08-09,14253.0
Privados,informados ultimo dia,2020-08-09,13005.0
Total realizados,realizados,2020-08-09,1841355.0
Total informados ultimo dia,informados ultimo dia,2020-08-09,28460.0
Instituto de salud pública,realizados,2020-08-10,102594.0
Hospitales público,realizados,2020-08-10,829763.0
Privados,realizados,2020-08-10,935010.0
Instituto de salud pública,informados ultimo dia,2020-08-10,818.0
Hospitales público,informados ultimo dia,2020-08-10,13682.0
Privados,informados ultimo dia,2020-08-10,11512.0
Total realizados,realizados,2020-08-10,1867367.0
Total informados ultimo dia,informados ultimo dia,2020-08-10,26012.0
Instituto de salud pública,realizados,2020-08-11,103063.0
Hospitales público,realizados,2020-08-11,841809.0
Privados,realizados,2020-08-11,944744.0
Instituto de salud pública,informados ultimo dia,2020-08-11,469.0
Hospitales público,informados ultimo dia,2020-08-11,12046.0
Privados,informados ultimo dia,2020-08-11,9734.0
Total realizados,realizados,2020-08-11,1889616.0
Total informados ultimo dia,informados ultimo dia,2020-08-11,22249.0
Instituto de salud pública,realizados,2020-08-12,103880.0
Hospitales público,realizados,2020-08-12,852477.0
Privados,realizados,2020-08-12,952607.0
Instituto de salud pública,informados ultimo dia,2020-08-12,817.0
Hospitales público,informados ultimo dia,2020-08-12,10668.0
Privados,informados ultimo dia,2020-08-12,7863.0
Total realizados,realizados,2020-08-12,1908964.0
Total informados ultimo dia,informados ultimo dia,2020-08-12,19348.0
Instituto de salud pública,realizados,2020-08-13,104279.0
Hospitales público,realizados,2020-08-13,865041.0
Privados,realizados,2020-08-13,963272.0
Instituto de salud pública,informados ultimo dia,2020-08-13,399.0
Hospitales público,informados ultimo dia,2020-08-13,12564.0
Privados,informados ultimo dia,2020-08-13,10665.0
Total realizados,realizados,2020-08-13,1932592.0
Total informados ultimo dia,informados ultimo dia,2020-08-13,23628.0
Instituto de salud pública,realizados,2020-08-14,105153.0
Hospitales público,realizados,2020-08-14,877972.0
Privados,realizados,2020-08-14,977085.0
Instituto de salud pública,informados ultimo dia,2020-08-14,874.0
Hospitales público,informados ultimo dia,2020-08-14,12931.0
Privados,informados ultimo dia,2020-08-14,13813.0
Total realizados,realizados,2020-08-14,1960210.0
Total informados ultimo dia,informados ultimo dia,2020-08-14,27618.0
Instituto de salud pública,realizados,2020-08-15,106344.0
Hospitales público,realizados,2020-08-15,891892.0
Privados,realizados,2020-08-15,990473.0
Instituto de salud pública,informados ultimo dia,2020-08-15,1191.0
Hospitales público,informados ultimo dia,2020-08-15,13920.0
Privados,informados ultimo dia,2020-08-15,13388.0
Total realizados,realizados,2020-08-15,1988709.0
Total informados ultimo dia,informados ultimo dia,2020-08-15,28499.0
Instituto de salud pública,realizados,2020-08-16,107506.0
Hospitales público,realizados,2020-08-16,907035.0
Privados,realizados,2020-08-16,1005050.0
Instituto de salud pública,informados ultimo dia,2020-08-16,1162.0
Hospitales público,informados ultimo dia,2020-08-16,15143.0
Privados,informados ultimo dia,2020-08-16,14577.0
Total realizados,realizados,2020-08-16,2019591.0
Total informados ultimo dia,informados ultimo dia,2020-08-16,30882.0
Instituto de salud pública,realizados,2020-08-17,108519.0
Hospitales público,realizados,2020-08-17,921466.0
Privados,realizados,2020-08-17,1014895.0
Instituto de salud pública,informados ultimo dia,2020-08-17,1013.0
Hospitales público,informados ultimo dia,2020-08-17,14431.0
Privados,informados ultimo dia,2020-08-17,9845.0
Total realizados,realizados,2020-08-17,2044880.0
Total informados ultimo dia,informados ultimo dia,2020-08-17,25289.0
Instituto de salud pública,realizados,2020-08-18,108889.0
Hospitales público,realizados,2020-08-18,934371.0
Privados,realizados,2020-08-18,1024819.0
Instituto de salud pública,informados ultimo dia,2020-08-18,370.0
Hospitales público,informados ultimo dia,2020-08-18,12905.0
Privados,informados ultimo dia,2020-08-18,9924.0
Total realizados,realizados,2020-08-18,2068079.0
Total informados ultimo dia,informados ultimo dia,2020-08-18,23199.0
Instituto de salud pública,realizados,2020-08-19,109423.0
Hospitales público,realizados,2020-08-19,944703.0
Privados,realizados,2020-08-19,1033228.0
Instituto de salud pública,informados ultimo dia,2020-08-19,534.0
Hospitales público,informados ultimo dia,2020-08-19,10332.0
Privados,informados ultimo dia,2020-08-19,8409.0
Total realizados,realizados,2020-08-19,2087354.0
Total informados ultimo dia,informados ultimo dia,2020-08-19,19275.0
Instituto de salud pública,realizados,2020-08-20,109885.0
Hospitales público,realizados,2020-08-20,958540.0
Privados,realizados,2020-08-20,1045207.0
Instituto de salud pública,informados ultimo dia,2020-08-20,462.0
Hospitales público,informados ultimo dia,2020-08-20,13837.0
Privados,informados ultimo dia,2020-08-20,11979.0
Total realizados,realizados,2020-08-20,2113632.0
Total informados ultimo dia,informados ultimo dia,2020-08-20,26278.0
Instituto de salud pública,realizados,2020-08-21,110515.0
Hospitales público,realizados,2020-08-21,972646.0
Privados,realizados,2020-08-21,1059140.0
Instituto de salud pública,informados ultimo dia,2020-08-21,630.0
Hospitales público,informados ultimo dia,2020-08-21,14106.0
Privados,informados ultimo dia,2020-08-21,13933.0
Total realizados,realizados,2020-08-21,2142301.0
Total informados ultimo dia,informados ultimo dia,2020-08-21,28669.0
Instituto de salud pública,realizados,2020-08-22,111607.0
Hospitales público,realizados,2020-08-22,987423.0
Privados,realizados,2020-08-22,1072998.0
Instituto de salud pública,informados ultimo dia,2020-08-22,1092.0
Hospitales público,informados ultimo dia,2020-08-22,14777.0
Privados,informados ultimo dia,2020-08-22,13858.0
Total realizados,realizados,2020-08-22,2172028.0
Total informados ultimo dia,informados ultimo dia,2020-08-22,29727.0
Instituto de salud pública,realizados,2020-08-23,112240.0
Hospitales público,realizados,2020-08-23,1003743.0
Privados,realizados,2020-08-23,1088026.0
Instituto de salud pública,informados ultimo dia,2020-08-23,633.0
Hospitales público,informados ultimo dia,2020-08-23,16320.0
Privados,informados ultimo dia,2020-08-23,15028.0
Total realizados,realizados,2020-08-23,2204009.0
Total informados ultimo dia,informados ultimo dia,2020-08-23,31981.0
Instituto de salud pública,realizados,2020-08-24,113178.0
Hospitales público,realizados,2020-08-24,1018937.0
Privados,realizados,2020-08-24,1099348.0
Instituto de salud pública,informados ultimo dia,2020-08-24,938.0
Hospitales público,informados ultimo dia,2020-08-24,15194.0
Privados,informados ultimo dia,2020-08-24,11322.0
Total realizados,realizados,2020-08-24,2231463.0
Total informados ultimo dia,informados ultimo dia,2020-08-24,27454.0
Instituto de salud pública,realizados,2020-08-25,113515.0
Hospitales público,realizados,2020-08-25,1032269.0
Privados,realizados,2020-08-25,1110182.0
Instituto de salud pública,informados ultimo dia,2020-08-25,337.0
Hospitales público,informados ultimo dia,2020-08-25,13332.0
Privados,informados ultimo dia,2020-08-25,10834.0
Total realizados,realizados,2020-08-25,2255966.0
Total informados ultimo dia,informados ultimo dia,2020-08-25,24503.0
Instituto de salud pública,realizados,2020-08-26,114221.0
Hospitales público,realizados,2020-08-26,1042411.0
Privados,realizados,2020-08-26,1119591.0
Instituto de salud pública,informados ultimo dia,2020-08-26,706.0
Hospitales público,informados ultimo dia,2020-08-26,10142.0
Privados,informados ultimo dia,2020-08-26,9409.0
Total realizados,realizados,2020-08-26,2276223.0
Total informados ultimo dia,informados ultimo dia,2020-08-26,20257.0
Instituto de salud pública,realizados,2020-08-27,114787.0
Hospitales público,realizados,2020-08-27,1055433.0
Privados,realizados,2020-08-27,1133022.0
Instituto de salud pública,informados ultimo dia,2020-08-27,566.0
Hospitales público,informados ultimo dia,2020-08-27,13022.0
Privados,informados ultimo dia,2020-08-27,13431.0
Total realizados,realizados,2020-08-27,2303242.0
Total informados ultimo dia,informados ultimo dia,2020-08-27,27019.0
Instituto de salud pública,realizados,2020-08-28,115649.0
Hospitales público,realizados,2020-08-28,1071583.0
Privados,realizados,2020-08-28,1146284.0
Instituto de salud pública,informados ultimo dia,2020-08-28,862.0
Hospitales público,informados ultimo dia,2020-08-28,16150.0
Privados,informados ultimo dia,2020-08-28,13262.0
Total realizados,realizados,2020-08-28,2333516.0
Total informados ultimo dia,informados ultimo dia,2020-08-28,30274.0
Instituto de salud pública,realizados,2020-08-29,116258.0
Hospitales público,realizados,2020-08-29,1088083.0
Privados,realizados,2020-08-29,1161412.0
Instituto de salud pública,informados ultimo dia,2020-08-29,609.0
Hospitales público,informados ultimo dia,2020-08-29,16500.0
Privados,informados ultimo dia,2020-08-29,15128.0
Total realizados,realizados,2020-08-29,2365753.0
Total informados ultimo dia,informados ultimo dia,2020-08-29,32237.0
