Region,Serie,Fecha,Casos
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-07-19,23.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-07-19,31.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-07-19,87.0
Atacama,Camas UCI ocupadas COVID-19,2020-07-19,8.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-07-19,35.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-07-19,125.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-07-19,1223.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-07-19,71.0
Maule,Camas UCI ocupadas COVID-19,2020-07-19,50.0
Ñuble,Camas UCI ocupadas COVID-19,2020-07-19,10.0
Biobío,Camas UCI ocupadas COVID-19,2020-07-19,70.0
Araucanía,Camas UCI ocupadas COVID-19,2020-07-19,6.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-07-19,3.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-07-19,18.0
Aysén,Camas UCI ocupadas COVID-19,2020-07-19,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-07-19,3.0
Total,Camas UCI ocupadas COVID-19,2020-07-19,1764.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-07-19,3.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-07-19,3.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-07-19,54.0
Atacama,Camas UCI ocupadas no COVID-19,2020-07-19,9.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-07-19,31.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-07-19,83.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-07-19,465.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-07-19,35.0
Maule,Camas UCI ocupadas no COVID-19,2020-07-19,36.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-07-19,21.0
Biobío,Camas UCI ocupadas no COVID-19,2020-07-19,77.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-07-19,51.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-07-19,11.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-07-19,41.0
Aysén,Camas UCI ocupadas no COVID-19,2020-07-19,4.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-07-19,10.0
Total,Camas UCI ocupadas no COVID-19,2020-07-19,934.0
Arica y Parinacota,Camas base (2019),2020-07-19,9.0
Tarapacá,Camas base (2019),2020-07-19,12.0
Antofagasta,Camas base (2019),2020-07-19,48.0
Atacama,Camas base (2019),2020-07-19,11.0
Coquimbo,Camas base (2019),2020-07-19,29.0
Valparaíso,Camas base (2019),2020-07-19,125.0
Metropolitana,Camas base (2019),2020-07-19,745.0
O’Higgins,Camas base (2019),2020-07-19,61.0
Maule,Camas base (2019),2020-07-19,45.0
Ñuble,Camas base (2019),2020-07-19,16.0
Biobío,Camas base (2019),2020-07-19,97.0
Araucanía,Camas base (2019),2020-07-19,49.0
Los Ríos,Camas base (2019),2020-07-19,13.0
Los Lagos,Camas base (2019),2020-07-19,49.0
Aysén,Camas base (2019),2020-07-19,8.0
Magallanes,Camas base (2019),2020-07-19,14.0
Total,Camas base (2019),2020-07-19,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-07-26,40.0
Tarapacá,Camas UCI habilitadas,2020-07-26,42.0
Antofagasta,Camas UCI habilitadas,2020-07-26,151.0
Atacama,Camas UCI habilitadas,2020-07-26,24.0
Coquimbo,Camas UCI habilitadas,2020-07-26,81.0
Valparaíso,Camas UCI habilitadas,2020-07-26,249.0
Metropolitana,Camas UCI habilitadas,2020-07-26,1765.0
O’Higgins,Camas UCI habilitadas,2020-07-26,142.0
Maule,Camas UCI habilitadas,2020-07-26,113.0
Ñuble,Camas UCI habilitadas,2020-07-26,52.0
Biobío,Camas UCI habilitadas,2020-07-26,199.0
Araucanía,Camas UCI habilitadas,2020-07-26,75.0
Los Ríos,Camas UCI habilitadas,2020-07-26,19.0
Los Lagos,Camas UCI habilitadas,2020-07-26,92.0
Aysén,Camas UCI habilitadas,2020-07-26,9.0
Magallanes,Camas UCI habilitadas,2020-07-26,32.0
Total,Camas UCI habilitadas,2020-07-26,3085.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-07-26,18.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-07-26,26.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-07-26,82.0
Atacama,Camas UCI ocupadas COVID-19,2020-07-26,7.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-07-26,34.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-07-26,119.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-07-26,1069.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-07-26,64.0
Maule,Camas UCI ocupadas COVID-19,2020-07-26,52.0
Ñuble,Camas UCI ocupadas COVID-19,2020-07-26,12.0
Biobío,Camas UCI ocupadas COVID-19,2020-07-26,73.0
Araucanía,Camas UCI ocupadas COVID-19,2020-07-26,11.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-07-26,2.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-07-26,20.0
Aysén,Camas UCI ocupadas COVID-19,2020-07-26,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-07-26,2.0
Total,Camas UCI ocupadas COVID-19,2020-07-26,1592.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-07-26,3.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-07-26,1.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-07-26,49.0
Atacama,Camas UCI ocupadas no COVID-19,2020-07-26,10.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-07-26,32.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-07-26,80.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-07-26,484.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-07-26,42.0
Maule,Camas UCI ocupadas no COVID-19,2020-07-26,47.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-07-26,23.0
Biobío,Camas UCI ocupadas no COVID-19,2020-07-26,72.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-07-26,50.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-07-26,13.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-07-26,38.0
Aysén,Camas UCI ocupadas no COVID-19,2020-07-26,3.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-07-26,18.0
Total,Camas UCI ocupadas no COVID-19,2020-07-26,965.0
Arica y Parinacota,Camas base (2019),2020-07-26,9.0
Tarapacá,Camas base (2019),2020-07-26,12.0
Antofagasta,Camas base (2019),2020-07-26,48.0
Atacama,Camas base (2019),2020-07-26,11.0
Coquimbo,Camas base (2019),2020-07-26,29.0
Valparaíso,Camas base (2019),2020-07-26,125.0
Metropolitana,Camas base (2019),2020-07-26,745.0
O’Higgins,Camas base (2019),2020-07-26,61.0
Maule,Camas base (2019),2020-07-26,45.0
Ñuble,Camas base (2019),2020-07-26,16.0
Biobío,Camas base (2019),2020-07-26,97.0
Araucanía,Camas base (2019),2020-07-26,49.0
Los Ríos,Camas base (2019),2020-07-26,13.0
Los Lagos,Camas base (2019),2020-07-26,49.0
Aysén,Camas base (2019),2020-07-26,8.0
Magallanes,Camas base (2019),2020-07-26,14.0
Total,Camas base (2019),2020-07-26,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-08-01,33.0
Tarapacá,Camas UCI habilitadas,2020-08-01,42.0
Antofagasta,Camas UCI habilitadas,2020-08-01,143.0
Atacama,Camas UCI habilitadas,2020-08-01,26.0
Coquimbo,Camas UCI habilitadas,2020-08-01,81.0
Valparaíso,Camas UCI habilitadas,2020-08-01,238.0
Metropolitana,Camas UCI habilitadas,2020-08-01,1703.0
O’Higgins,Camas UCI habilitadas,2020-08-01,142.0
Maule,Camas UCI habilitadas,2020-08-01,112.0
Ñuble,Camas UCI habilitadas,2020-08-01,52.0
Biobío,Camas UCI habilitadas,2020-08-01,202.0
Araucanía,Camas UCI habilitadas,2020-08-01,75.0
Los Ríos,Camas UCI habilitadas,2020-08-01,20.0
Los Lagos,Camas UCI habilitadas,2020-08-01,92.0
Aysén,Camas UCI habilitadas,2020-08-01,8.0
Magallanes,Camas UCI habilitadas,2020-08-01,32.0
Total,Camas UCI habilitadas,2020-08-01,3001.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-08-01,25.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-08-01,26.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-08-01,81.0
Atacama,Camas UCI ocupadas COVID-19,2020-08-01,8.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-08-01,40.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-08-01,112.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-08-01,953.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-08-01,50.0
Maule,Camas UCI ocupadas COVID-19,2020-08-01,36.0
Ñuble,Camas UCI ocupadas COVID-19,2020-08-01,8.0
Biobío,Camas UCI ocupadas COVID-19,2020-08-01,68.0
Araucanía,Camas UCI ocupadas COVID-19,2020-08-01,11.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-08-01,2.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-08-01,21.0
Aysén,Camas UCI ocupadas COVID-19,2020-08-01,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-08-01,3.0
Total,Camas UCI ocupadas COVID-19,2020-08-01,1445.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-08-01,1.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-08-01,2.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-08-01,48.0
Atacama,Camas UCI ocupadas no COVID-19,2020-08-01,7.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-08-01,31.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-08-01,76.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-08-01,520.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-08-01,54.0
Maule,Camas UCI ocupadas no COVID-19,2020-08-01,42.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-08-01,18.0
Biobío,Camas UCI ocupadas no COVID-19,2020-08-01,84.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-08-01,45.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-08-01,15.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-08-01,44.0
Aysén,Camas UCI ocupadas no COVID-19,2020-08-01,3.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-08-01,15.0
Total,Camas UCI ocupadas no COVID-19,2020-08-01,1005.0
Arica y Parinacota,Camas base (2019),2020-08-01,9.0
Tarapacá,Camas base (2019),2020-08-01,12.0
Antofagasta,Camas base (2019),2020-08-01,48.0
Atacama,Camas base (2019),2020-08-01,11.0
Coquimbo,Camas base (2019),2020-08-01,29.0
Valparaíso,Camas base (2019),2020-08-01,125.0
Metropolitana,Camas base (2019),2020-08-01,745.0
O’Higgins,Camas base (2019),2020-08-01,61.0
Maule,Camas base (2019),2020-08-01,45.0
Ñuble,Camas base (2019),2020-08-01,16.0
Biobío,Camas base (2019),2020-08-01,97.0
Araucanía,Camas base (2019),2020-08-01,49.0
Los Ríos,Camas base (2019),2020-08-01,13.0
Los Lagos,Camas base (2019),2020-08-01,49.0
Aysén,Camas base (2019),2020-08-01,8.0
Magallanes,Camas base (2019),2020-08-01,14.0
Total,Camas base (2019),2020-08-01,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-08-08,33.0
Tarapacá,Camas UCI habilitadas,2020-08-08,37.0
Antofagasta,Camas UCI habilitadas,2020-08-08,139.0
Atacama,Camas UCI habilitadas,2020-08-08,26.0
Coquimbo,Camas UCI habilitadas,2020-08-08,81.0
Valparaíso,Camas UCI habilitadas,2020-08-08,230.0
Metropolitana,Camas UCI habilitadas,2020-08-08,1611.0
O’Higgins,Camas UCI habilitadas,2020-08-08,133.0
Maule,Camas UCI habilitadas,2020-08-08,113.0
Ñuble,Camas UCI habilitadas,2020-08-08,52.0
Biobío,Camas UCI habilitadas,2020-08-08,203.0
Araucanía,Camas UCI habilitadas,2020-08-08,74.0
Los Ríos,Camas UCI habilitadas,2020-08-08,20.0
Los Lagos,Camas UCI habilitadas,2020-08-08,85.0
Aysén,Camas UCI habilitadas,2020-08-08,8.0
Magallanes,Camas UCI habilitadas,2020-08-08,32.0
Total,Camas UCI habilitadas,2020-08-08,2877.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-08-08,25.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-08-08,22.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-08-08,71.0
Atacama,Camas UCI ocupadas COVID-19,2020-08-08,6.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-08-08,42.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-08-08,96.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-08-08,842.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-08-08,45.0
Maule,Camas UCI ocupadas COVID-19,2020-08-08,30.0
Ñuble,Camas UCI ocupadas COVID-19,2020-08-08,9.0
Biobío,Camas UCI ocupadas COVID-19,2020-08-08,80.0
Araucanía,Camas UCI ocupadas COVID-19,2020-08-08,9.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-08-08,3.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-08-08,18.0
Aysén,Camas UCI ocupadas COVID-19,2020-08-08,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-08-08,6.0
Total,Camas UCI ocupadas COVID-19,2020-08-08,1305.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-08-08,5.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-08-08,2.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-08-08,51.0
Atacama,Camas UCI ocupadas no COVID-19,2020-08-08,9.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-08-08,26.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-08-08,89.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-08-08,523.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-08-08,51.0
Maule,Camas UCI ocupadas no COVID-19,2020-08-08,52.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-08-08,19.0
Biobío,Camas UCI ocupadas no COVID-19,2020-08-08,68.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-08-08,47.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-08-08,10.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-08-08,37.0
Aysén,Camas UCI ocupadas no COVID-19,2020-08-08,4.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-08-08,12.0
Total,Camas UCI ocupadas no COVID-19,2020-08-08,1005.0
Arica y Parinacota,Camas base (2019),2020-08-08,9.0
Tarapacá,Camas base (2019),2020-08-08,12.0
Antofagasta,Camas base (2019),2020-08-08,48.0
Atacama,Camas base (2019),2020-08-08,11.0
Coquimbo,Camas base (2019),2020-08-08,29.0
Valparaíso,Camas base (2019),2020-08-08,125.0
Metropolitana,Camas base (2019),2020-08-08,745.0
O’Higgins,Camas base (2019),2020-08-08,61.0
Maule,Camas base (2019),2020-08-08,45.0
Ñuble,Camas base (2019),2020-08-08,16.0
Biobío,Camas base (2019),2020-08-08,97.0
Araucanía,Camas base (2019),2020-08-08,49.0
Los Ríos,Camas base (2019),2020-08-08,13.0
Los Lagos,Camas base (2019),2020-08-08,49.0
Aysén,Camas base (2019),2020-08-08,8.0
Magallanes,Camas base (2019),2020-08-08,14.0
Total,Camas base (2019),2020-08-08,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-08-14,33.0
Tarapacá,Camas UCI habilitadas,2020-08-14,37.0
Antofagasta,Camas UCI habilitadas,2020-08-14,141.0
Atacama,Camas UCI habilitadas,2020-08-14,26.0
Coquimbo,Camas UCI habilitadas,2020-08-14,85.0
Valparaíso,Camas UCI habilitadas,2020-08-14,225.0
Metropolitana,Camas UCI habilitadas,2020-08-14,1482.0
O’Higgins,Camas UCI habilitadas,2020-08-14,117.0
Maule,Camas UCI habilitadas,2020-08-14,113.0
Ñuble,Camas UCI habilitadas,2020-08-14,52.0
Biobío,Camas UCI habilitadas,2020-08-14,205.0
Araucanía,Camas UCI habilitadas,2020-08-14,72.0
Los Ríos,Camas UCI habilitadas,2020-08-14,20.0
Los Lagos,Camas UCI habilitadas,2020-08-14,85.0
Aysén,Camas UCI habilitadas,2020-08-14,8.0
Magallanes,Camas UCI habilitadas,2020-08-14,32.0
Total,Camas UCI habilitadas,2020-08-14,2733.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-08-14,28.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-08-14,23.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-08-14,67.0
Atacama,Camas UCI ocupadas COVID-19,2020-08-14,10.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-08-14,44.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-08-14,95.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-08-14,792.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-08-14,47.0
Maule,Camas UCI ocupadas COVID-19,2020-08-14,30.0
Ñuble,Camas UCI ocupadas COVID-19,2020-08-14,13.0
Biobío,Camas UCI ocupadas COVID-19,2020-08-14,72.0
Araucanía,Camas UCI ocupadas COVID-19,2020-08-14,6.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-08-14,2.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-08-14,18.0
Aysén,Camas UCI ocupadas COVID-19,2020-08-14,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-08-14,4.0
Total,Camas UCI ocupadas COVID-19,2020-08-14,1252.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-08-14,3.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-08-14,4.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-08-14,46.0
Atacama,Camas UCI ocupadas no COVID-19,2020-08-14,11.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-08-14,20.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-08-14,91.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-08-14,498.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-08-14,43.0
Maule,Camas UCI ocupadas no COVID-19,2020-08-14,46.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-08-14,25.0
Biobío,Camas UCI ocupadas no COVID-19,2020-08-14,58.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-08-14,42.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-08-14,12.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-08-14,35.0
Aysén,Camas UCI ocupadas no COVID-19,2020-08-14,5.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-08-14,20.0
Total,Camas UCI ocupadas no COVID-19,2020-08-14,959.0
Arica y Parinacota,Camas base (2019),2020-08-14,9.0
Tarapacá,Camas base (2019),2020-08-14,12.0
Antofagasta,Camas base (2019),2020-08-14,48.0
Atacama,Camas base (2019),2020-08-14,11.0
Coquimbo,Camas base (2019),2020-08-14,29.0
Valparaíso,Camas base (2019),2020-08-14,125.0
Metropolitana,Camas base (2019),2020-08-14,745.0
O’Higgins,Camas base (2019),2020-08-14,61.0
Maule,Camas base (2019),2020-08-14,45.0
Ñuble,Camas base (2019),2020-08-14,16.0
Biobío,Camas base (2019),2020-08-14,97.0
Araucanía,Camas base (2019),2020-08-14,49.0
Los Ríos,Camas base (2019),2020-08-14,13.0
Los Lagos,Camas base (2019),2020-08-14,49.0
Aysén,Camas base (2019),2020-08-14,8.0
Magallanes,Camas base (2019),2020-08-14,14.0
Total,Camas base (2019),2020-08-14,1331.0
