Dato,Fecha,Total
Casos nuevos totales,2020-05-29,3695.0
Casos activos por FD,2020-05-29,51096.0
Casos activos por FIS,2020-05-29,
Casos recuperados por FIS,2020-05-29,
Casos recuperados por FD,2020-05-29,38598.0
Casos confirmados recuperados,2020-05-29,
Casos activos confirmados,2020-05-29,
Casos probables acumulados,2020-05-29,
Casos activos probables,2020-05-29,
Casos nuevos sin notificar,2020-05-29,
Casos nuevos con sintomas,2020-05-30,3736.0
Casos totales,2020-05-30,94858.0
Casos recuperados,2020-05-30,40431.0
Fallecidos,2020-05-30,997.0
Casos activos,2020-05-30,53430.0
Casos nuevos sin sintomas,2020-05-30,484.0
Casos nuevos totales,2020-05-30,4220.0
Casos activos por FD,2020-05-30,53430.0
Casos activos por FIS,2020-05-30,
Casos recuperados por FIS,2020-05-30,
Casos recuperados por FD,2020-05-30,40431.0
Casos confirmados recuperados,2020-05-30,
Casos activos confirmados,2020-05-30,
Casos probables acumulados,2020-05-30,
Casos activos probables,2020-05-30,
Casos nuevos sin notificar,2020-05-30,
Casos nuevos con sintomas,2020-05-31,4437.0
Casos totales,2020-05-31,99688.0
Casos recuperados,2020-05-31,42727.0
Fallecidos,2020-05-31,1054.0
Casos activos,2020-05-31,55907.0
Casos nuevos sin sintomas,2020-05-31,393.0
Casos nuevos totales,2020-05-31,4830.0
Casos activos por FD,2020-05-31,55907.0
Casos activos por FIS,2020-05-31,
Casos recuperados por FIS,2020-05-31,
Casos recuperados por FD,2020-05-31,42727.0
Casos confirmados recuperados,2020-05-31,
Casos activos confirmados,2020-05-31,
Casos probables acumulados,2020-05-31,
Casos activos probables,2020-05-31,
Casos nuevos sin notificar,2020-05-31,
Casos nuevos con sintomas,2020-06-01,5082.0
Casos totales,2020-06-01,105159.0
Casos recuperados,2020-06-01,44946.0
Fallecidos,2020-06-01,1113.0
Casos activos,2020-06-01,59100.0
Casos nuevos sin sintomas,2020-06-01,389.0
Casos nuevos totales,2020-06-01,5471.0
Casos activos por FD,2020-06-01,59100.0
Casos activos por FIS,2020-06-01,
Casos recuperados por FIS,2020-06-01,
Casos recuperados por FD,2020-06-01,44946.0
Casos confirmados recuperados,2020-06-01,
Casos activos confirmados,2020-06-01,
Casos probables acumulados,2020-06-01,
Casos activos probables,2020-06-01,
Casos nuevos sin notificar,2020-06-01,
Casos nuevos con sintomas,2020-06-02,3206.0
Casos totales,2020-06-02,108686.0
Casos recuperados,2020-06-02,
Fallecidos,2020-06-02,1188.0
Casos activos,2020-06-02,21325.0
Casos nuevos sin sintomas,2020-06-02,321.0
Casos nuevos totales,2020-06-02,3527.0
Casos activos por FD,2020-06-02,59107.0
Casos activos por FIS,2020-06-02,21325.0
Casos recuperados por FIS,2020-06-02,86173.0
Casos recuperados por FD,2020-06-02,48391.0
Casos confirmados recuperados,2020-06-02,
Casos activos confirmados,2020-06-02,
Casos probables acumulados,2020-06-02,
Casos activos probables,2020-06-02,
Casos nuevos sin notificar,2020-06-02,
Casos nuevos con sintomas,2020-06-03,4537.0
Casos totales,2020-06-03,113628.0
Casos recuperados,2020-06-03,
Fallecidos,2020-06-03,1275.0
Casos activos,2020-06-03,21605.0
Casos nuevos sin sintomas,2020-06-03,405.0
Casos nuevos totales,2020-06-03,4942.0
Casos activos por FD,2020-06-03,60011.0
Casos activos por FIS,2020-06-03,21605.0
Casos recuperados por FIS,2020-06-03,90748.0
Casos recuperados por FD,2020-06-03,52342.0
Casos confirmados recuperados,2020-06-03,
Casos activos confirmados,2020-06-03,
Casos probables acumulados,2020-06-03,
Casos activos probables,2020-06-03,
Casos nuevos sin notificar,2020-06-03,
Casos nuevos con sintomas,2020-06-04,4172.0
Casos totales,2020-06-04,118292.0
Casos recuperados,2020-06-04,
Fallecidos,2020-06-04,1356.0
Casos activos,2020-06-04,21305.0
Casos nuevos sin sintomas,2020-06-04,492.0
Casos nuevos totales,2020-06-04,4664.0
Casos activos por FD,2020-06-04,60711.0
Casos activos por FIS,2020-06-04,21305.0
Casos recuperados por FIS,2020-06-04,95631.0
Casos recuperados por FD,2020-06-04,56225.0
Casos confirmados recuperados,2020-06-04,
Casos activos confirmados,2020-06-04,
Casos probables acumulados,2020-06-04,
Casos activos probables,2020-06-04,
Casos nuevos sin notificar,2020-06-04,
Casos nuevos con sintomas,2020-06-05,3790.0
Casos totales,2020-06-05,122499.0
Casos recuperados,2020-06-05,
Fallecidos,2020-06-05,1448.0
Casos activos,2020-06-05,21693.0
Casos nuevos sin sintomas,2020-06-05,417.0
Casos nuevos totales,2020-06-05,4207.0
Casos activos por FD,2020-06-05,60642.0
Casos activos por FIS,2020-06-05,21693.0
Casos recuperados por FIS,2020-06-05,99358.0
Casos recuperados por FD,2020-06-05,60409.0
Casos confirmados recuperados,2020-06-05,
Casos activos confirmados,2020-06-05,
Casos probables acumulados,2020-06-05,
Casos activos probables,2020-06-05,
Casos nuevos sin notificar,2020-06-05,
Casos nuevos con sintomas,2020-06-06,4888.0
Casos totales,2020-06-06,127745.0
Casos recuperados,2020-06-06,
Fallecidos,2020-06-06,1541.0
Casos activos,2020-06-06,22387.0
Casos nuevos sin sintomas,2020-06-06,358.0
Casos nuevos totales,2020-06-06,5246.0
Casos activos por FD,2020-06-06,62352.0
Casos activos por FIS,2020-06-06,22387.0
Casos recuperados por FIS,2020-06-06,103817.0
Casos recuperados por FD,2020-06-06,63852.0
Casos confirmados recuperados,2020-06-06,
Casos activos confirmados,2020-06-06,
Casos probables acumulados,2020-06-06,
Casos activos probables,2020-06-06,
Casos nuevos sin notificar,2020-06-06,
Casos nuevos con sintomas,2020-06-07,5760.0
Casos totales,2020-06-07,134150.0
Casos recuperados,2020-06-07,
Fallecidos,2020-06-07,2190.0
Casos activos,2020-06-07,24363.0
Casos nuevos sin sintomas,2020-06-07,645.0
Casos nuevos totales,2020-06-07,6405.0
Casos activos por FD,2020-06-07,65048.0
Casos activos por FIS,2020-06-07,24363.0
Casos recuperados por FIS,2020-06-07,107597.0
Casos recuperados por FD,2020-06-07,66912.0
Casos confirmados recuperados,2020-06-07,
Casos activos confirmados,2020-06-07,
Casos probables acumulados,2020-06-07,
Casos activos probables,2020-06-07,
Casos nuevos sin notificar,2020-06-07,
Casos nuevos con sintomas,2020-06-08,4237.0
Casos totales,2020-06-08,138846.0
Casos recuperados,2020-06-08,
Fallecidos,2020-06-08,2264.0
Casos activos,2020-06-08,24334.0
Casos nuevos sin sintomas,2020-06-08,459.0
Casos nuevos totales,2020-06-08,4696.0
Casos activos por FD,2020-06-08,64849.0
Casos activos por FIS,2020-06-08,24334.0
Casos recuperados por FIS,2020-06-08,112248.0
Casos recuperados por FD,2020-06-08,71733.0
Casos confirmados recuperados,2020-06-08,
Casos activos confirmados,2020-06-08,
Casos probables acumulados,2020-06-08,
Casos activos probables,2020-06-08,
Casos nuevos sin notificar,2020-06-08,
Casos nuevos con sintomas,2020-06-09,3587.0
Casos totales,2020-06-09,142759.0
Casos recuperados,2020-06-09,
Fallecidos,2020-06-09,2283.0
Casos activos,2020-06-09,23115.0
Casos nuevos sin sintomas,2020-06-09,326.0
Casos nuevos totales,2020-06-09,3913.0
Casos activos por FD,2020-06-09,64798.0
Casos activos por FIS,2020-06-09,23115.0
Casos recuperados por FIS,2020-06-09,117361.0
Casos recuperados por FD,2020-06-09,75678.0
Casos confirmados recuperados,2020-06-09,
Casos activos confirmados,2020-06-09,
Casos probables acumulados,2020-06-09,
Casos activos probables,2020-06-09,
Casos nuevos sin notificar,2020-06-09,
Casos nuevos con sintomas,2020-06-10,5226.0
Casos totales,2020-06-10,148496.0
Casos recuperados,2020-06-10,
Fallecidos,2020-06-10,2475.0
Casos activos,2020-06-10,24201.0
Casos nuevos sin sintomas,2020-06-10,511.0
Casos nuevos totales,2020-06-10,5737.0
Casos activos por FD,2020-06-10,66207.0
Casos activos por FIS,2020-06-10,24201.0
Casos recuperados por FIS,2020-06-10,121820.0
Casos recuperados por FD,2020-06-10,79814.0
Casos confirmados recuperados,2020-06-10,
Casos activos confirmados,2020-06-10,
Casos probables acumulados,2020-06-10,
Casos activos probables,2020-06-10,
Casos nuevos sin notificar,2020-06-10,
Casos nuevos con sintomas,2020-06-11,5089.0
Casos totales,2020-06-11,154092.0
Casos recuperados,2020-06-11,
Fallecidos,2020-06-11,2648.0
Casos activos,2020-06-11,25000.0
Casos nuevos sin sintomas,2020-06-11,507.0
Casos nuevos totales,2020-06-11,5596.0
Casos activos por FD,2020-06-11,67149.0
Casos activos por FIS,2020-06-11,25000.0
Casos recuperados por FIS,2020-06-11,126444.0
Casos recuperados por FD,2020-06-11,84295.0
Casos confirmados recuperados,2020-06-11,
Casos activos confirmados,2020-06-11,
Casos probables acumulados,2020-06-11,
Casos activos probables,2020-06-11,
Casos nuevos sin notificar,2020-06-11,
Casos nuevos con sintomas,2020-06-12,6217.0
Casos totales,2020-06-12,160846.0
Casos recuperados,2020-06-12,
Fallecidos,2020-06-12,2870.0
Casos activos,2020-06-12,26618.0
Casos nuevos sin sintomas,2020-06-12,537.0
Casos nuevos totales,2020-06-12,6754.0
Casos activos por FD,2020-06-12,70208.0
Casos activos por FIS,2020-06-12,26618.0
Casos recuperados por FIS,2020-06-12,131358.0
Casos recuperados por FD,2020-06-12,87768.0
Casos confirmados recuperados,2020-06-12,
Casos activos confirmados,2020-06-12,
Casos probables acumulados,2020-06-12,
Casos activos probables,2020-06-12,
Casos nuevos sin notificar,2020-06-12,
Casos nuevos con sintomas,2020-06-13,5969.0
Casos totales,2020-06-13,167355.0
Casos recuperados,2020-06-13,
Fallecidos,2020-06-13,3101.0
Casos activos,2020-06-13,26958.0
Casos nuevos sin sintomas,2020-06-13,540.0
Casos nuevos totales,2020-06-13,6509.0
Casos activos por FD,2020-06-13,72497.0
Casos activos por FIS,2020-06-13,26958.0
Casos recuperados por FIS,2020-06-13,137296.0
Casos recuperados por FD,2020-06-13,91757.0
Casos confirmados recuperados,2020-06-13,
Casos activos confirmados,2020-06-13,
Casos probables acumulados,2020-06-13,
Casos activos probables,2020-06-13,
Casos nuevos sin notificar,2020-06-13,
Casos nuevos con sintomas,2020-06-14,6368.0
Casos totales,2020-06-14,174293.0
Casos recuperados,2020-06-14,
Fallecidos,2020-06-14,3323.0
Casos activos,2020-06-14,27266.0
Casos nuevos sin sintomas,2020-06-14,570.0
Casos nuevos totales,2020-06-14,6938.0
Casos activos por FD,2020-06-14,74605.0
Casos activos por FIS,2020-06-14,27266.0
Casos recuperados por FIS,2020-06-14,143704.0
Casos recuperados por FD,2020-06-14,96365.0
Casos confirmados recuperados,2020-06-14,
Casos activos confirmados,2020-06-14,
Casos probables acumulados,2020-06-14,
Casos activos probables,2020-06-14,
Casos nuevos sin notificar,2020-06-14,
Casos nuevos con sintomas,2020-06-15,4660.0
Casos totales,2020-06-15,179436.0
Casos recuperados,2020-06-15,
Fallecidos,2020-06-15,3362.0
Casos activos,2020-06-15,27282.0
Casos nuevos sin sintomas,2020-06-15,483.0
Casos nuevos totales,2020-06-15,5143.0
Casos activos por FD,2020-06-15,74277.0
Casos activos por FIS,2020-06-15,27282.0
Casos recuperados por FIS,2020-06-15,148792.0
Casos recuperados por FD,2020-06-15,101797.0
Casos confirmados recuperados,2020-06-15,
Casos activos confirmados,2020-06-15,
Casos probables acumulados,2020-06-15,
Casos activos probables,2020-06-15,
Casos nuevos sin notificar,2020-06-15,
Casos nuevos con sintomas,2020-06-16,4498.0
Casos totales,2020-06-16,184449.0
Casos recuperados,2020-06-16,
Fallecidos,2020-06-16,3383.0
Casos activos,2020-06-16,24834.0
Casos nuevos sin sintomas,2020-06-16,515.0
Casos nuevos totales,2020-06-16,5013.0
Casos activos por FD,2020-06-16,75763.0
Casos activos por FIS,2020-06-16,24834.0
Casos recuperados por FIS,2020-06-16,156232.0
Casos recuperados por FD,2020-06-16,105303.0
Casos confirmados recuperados,2020-06-16,
Casos activos confirmados,2020-06-16,
Casos probables acumulados,2020-06-16,
Casos activos probables,2020-06-16,
Casos nuevos sin notificar,2020-06-16,
Casos nuevos con sintomas,2020-06-17,4320.0
Casos totales,2020-06-17,220628.0
Casos recuperados,2020-06-17,
Fallecidos,2020-06-17,3615.0
Casos activos,2020-06-17,35082.0
Casos nuevos sin sintomas,2020-06-17,437.0
Casos nuevos totales,2020-06-17,4757.0
Casos activos por FD,2020-06-17,75346.0
Casos activos por FIS,2020-06-17,35082.0
Casos recuperados por FIS,2020-06-17,181931.0
Casos recuperados por FD,2020-06-17,141667.0
Casos confirmados recuperados,2020-06-17,
Casos activos confirmados,2020-06-17,
Casos probables acumulados,2020-06-17,
Casos activos probables,2020-06-17,
Casos nuevos sin notificar,2020-06-17,
Casos nuevos con sintomas,2020-06-18,4060.0
Casos totales,2020-06-18,225103.0
Casos recuperados,2020-06-18,
Fallecidos,2020-06-18,3841.0
Casos activos,2020-06-18,34821.0
Casos nuevos sin sintomas,2020-06-18,383.0
Casos nuevos totales,2020-06-18,4475.0
Casos activos por FD,2020-06-18,106811.0
Casos activos por FIS,2020-06-18,34821.0
Casos recuperados por FIS,2020-06-18,186441.0
Casos recuperados por FD,2020-06-18,114451.0
Casos confirmados recuperados,2020-06-18,
Casos activos confirmados,2020-06-18,
Casos probables acumulados,2020-06-18,
Casos activos probables,2020-06-18,
Casos nuevos sin notificar,2020-06-18,
Casos nuevos con sintomas,2020-06-19,5016.0
Casos totales,2020-06-19,231393.0
Casos recuperados,2020-06-19,
Fallecidos,2020-06-19,4093.0
Casos activos,2020-06-19,35809.0
Casos nuevos sin sintomas,2020-06-19,599.0
Casos nuevos totales,2020-06-19,6290.0
Casos activos por FD,2020-06-19,108894.0
Casos activos por FIS,2020-06-19,35809.0
Casos recuperados por FIS,2020-06-19,191491.0
Casos recuperados por FD,2020-06-19,118406.0
Casos confirmados recuperados,2020-06-19,
Casos activos confirmados,2020-06-19,
Casos probables acumulados,2020-06-19,
Casos activos probables,2020-06-19,
Casos nuevos sin notificar,2020-06-19,
Casos nuevos con sintomas,2020-06-20,4564.0
Casos totales,2020-06-20,236748.0
Casos recuperados,2020-06-20,
Fallecidos,2020-06-20,4295.0
Casos activos,2020-06-20,35844.0
Casos nuevos sin sintomas,2020-06-20,418.0
Casos nuevos totales,2020-06-20,5355.0
Casos activos por FD,2020-06-20,109003.0
Casos activos por FIS,2020-06-20,35844.0
Casos recuperados por FIS,2020-06-20,196609.0
Casos recuperados por FD,2020-06-20,123450.0
Casos confirmados recuperados,2020-06-20,
Casos activos confirmados,2020-06-20,
Casos probables acumulados,2020-06-20,
Casos activos probables,2020-06-20,
Casos nuevos sin notificar,2020-06-20,
Casos nuevos con sintomas,2020-06-21,4181.0
Casos totales,2020-06-21,242355.0
Casos recuperados,2020-06-21,
Fallecidos,2020-06-21,4479.0
Casos activos,2020-06-21,37307.0
Casos nuevos sin sintomas,2020-06-21,594.0
Casos nuevos totales,2020-06-21,5607.0
Casos activos por FD,2020-06-21,108205.0
Casos activos por FIS,2020-06-21,37307.0
Casos recuperados por FIS,2020-06-21,200569.0
Casos recuperados por FD,2020-06-21,129671.0
Casos confirmados recuperados,2020-06-21,200569.0
Casos activos confirmados,2020-06-21,37307.0
Casos probables acumulados,2020-06-21,21897.0
Casos activos probables,2020-06-21,10482.0
Casos nuevos sin notificar,2020-06-21,
Casos nuevos con sintomas,2020-06-22,3710.0
Casos totales,2020-06-22,246963.0
Casos recuperados,2020-06-22,
Fallecidos,2020-06-22,4502.0
Casos activos,2020-06-22,37064.0
Casos nuevos sin sintomas,2020-06-22,399.0
Casos nuevos totales,2020-06-22,4608.0
Casos activos por FD,2020-06-22,108117.0
Casos activos por FIS,2020-06-22,37064.0
Casos recuperados por FIS,2020-06-22,205397.0
Casos recuperados por FD,2020-06-22,134344.0
Casos confirmados recuperados,2020-06-22,205397.0
Casos activos confirmados,2020-06-22,37064.0
Casos probables acumulados,2020-06-22,22307.0
Casos activos probables,2020-06-22,10029.0
Casos nuevos sin notificar,2020-06-22,
Casos nuevos con sintomas,2020-06-23,3078.0
Casos totales,2020-06-23,250767.0
Casos recuperados,2020-06-23,
Fallecidos,2020-06-23,4505.0
Casos activos,2020-06-23,35692.0
Casos nuevos sin sintomas,2020-06-23,336.0
Casos nuevos totales,2020-06-23,3804.0
Casos activos por FD,2020-06-23,108008.0
Casos activos por FIS,2020-06-23,35692.0
Casos recuperados por FIS,2020-06-23,210570.0
Casos recuperados por FD,2020-06-23,138254.0
Casos confirmados recuperados,2020-06-23,210570.0
Casos activos confirmados,2020-06-23,35692.0
Casos probables acumulados,2020-06-23,24881.0
Casos activos probables,2020-06-23,9403.0
Casos nuevos sin notificar,2020-06-23,
Casos nuevos con sintomas,2020-06-24,3020.0
Casos totales,2020-06-24,254416.0
Casos recuperados,2020-06-24,
Fallecidos,2020-06-24,4731.0
Casos activos,2020-06-24,34592.0
Casos nuevos sin sintomas,2020-06-24,264.0
Casos nuevos totales,2020-06-24,3649.0
Casos activos por FD,2020-06-24,105920.0
Casos activos por FIS,2020-06-24,34592.0
Casos recuperados por FIS,2020-06-24,215093.0
Casos recuperados por FD,2020-06-24,143765.0
Casos confirmados recuperados,2020-06-24,215093.0
Casos activos confirmados,2020-06-24,34592.0
Casos probables acumulados,2020-06-24,26184.0
Casos activos probables,2020-06-24,9674.0
Casos nuevos sin notificar,2020-06-24,
Casos nuevos con sintomas,2020-06-25,3778.0
Casos totales,2020-06-25,259064.0
Casos recuperados,2020-06-25,
Fallecidos,2020-06-25,4903.0
Casos activos,2020-06-25,34834.0
Casos nuevos sin sintomas,2020-06-25,423.0
Casos nuevos totales,2020-06-25,4648.0
Casos activos por FD,2020-06-25,104972.0
Casos activos por FIS,2020-06-25,34834.0
Casos recuperados por FIS,2020-06-25,219327.0
Casos recuperados por FD,2020-06-25,149189.0
Casos confirmados recuperados,2020-06-25,219327.0
Casos activos confirmados,2020-06-25,34834.0
Casos probables acumulados,2020-06-25,27193.0
Casos activos probables,2020-06-25,9646.0
Casos nuevos sin notificar,2020-06-25,
Casos nuevos con sintomas,2020-06-26,3422.0
Casos totales,2020-06-26,263360.0
Casos recuperados,2020-06-26,
Fallecidos,2020-06-26,5068.0
Casos activos,2020-06-26,34861.0
Casos nuevos sin sintomas,2020-06-26,413.0
Casos nuevos totales,2020-06-26,4296.0
Casos activos por FD,2020-06-26,102514.0
Casos activos por FIS,2020-06-26,34861.0
Casos recuperados por FIS,2020-06-26,223431.0
Casos recuperados por FD,2020-06-26,155778.0
Casos confirmados recuperados,2020-06-26,223431.0
Casos activos confirmados,2020-06-26,34861.0
Casos probables acumulados,2020-06-26,28133.0
Casos activos probables,2020-06-26,9720.0
Casos nuevos sin notificar,2020-06-26,
Casos nuevos con sintomas,2020-06-27,3481.0
Casos totales,2020-06-27,267766.0
Casos recuperados,2020-06-27,
Fallecidos,2020-06-27,5347.0
Casos activos,2020-06-27,34364.0
Casos nuevos sin sintomas,2020-06-27,426.0
Casos nuevos totales,2020-06-27,4406.0
Casos activos por FD,2020-06-27,100411.0
Casos activos por FIS,2020-06-27,34364.0
Casos recuperados por FIS,2020-06-27,228055.0
Casos recuperados por FD,2020-06-27,162008.0
Casos confirmados recuperados,2020-06-27,228055.0
Casos activos confirmados,2020-06-27,34364.0
Casos probables acumulados,2020-06-27,29019.0
Casos activos probables,2020-06-27,9659.0
Casos nuevos sin notificar,2020-06-27,
Casos nuevos con sintomas,2020-06-28,3396.0
Casos totales,2020-06-28,271982.0
Casos recuperados,2020-06-28,
Fallecidos,2020-06-28,5509.0
Casos activos,2020-06-28,34263.0
Casos nuevos sin sintomas,2020-06-28,402.0
Casos nuevos totales,2020-06-28,4216.0
Casos activos por FD,2020-06-28,97689.0
Casos activos por FIS,2020-06-28,34263.0
Casos recuperados por FIS,2020-06-28,232210.0
Casos recuperados por FD,2020-06-28,168784.0
Casos confirmados recuperados,2020-06-28,232210.0
Casos activos confirmados,2020-06-28,34263.0
Casos probables acumulados,2020-06-28,29733.0
Casos activos probables,2020-06-28,9595.0
Casos nuevos sin notificar,2020-06-28,
Casos nuevos con sintomas,2020-06-29,3092.0
Casos totales,2020-06-29,275999.0
Casos recuperados,2020-06-29,
Fallecidos,2020-06-29,5575.0
Casos activos,2020-06-29,34270.0
Casos nuevos sin sintomas,2020-06-29,432.0
Casos nuevos totales,2020-06-29,4017.0
Casos activos por FD,2020-06-29,96563.0
Casos activos por FIS,2020-06-29,34270.0
Casos recuperados por FIS,2020-06-29,236154.0
Casos recuperados por FD,2020-06-29,173861.0
Casos confirmados recuperados,2020-06-29,236016.0
Casos activos confirmados,2020-06-29,34270.0
Casos probables acumulados,2020-06-29,30362.0
Casos activos probables,2020-06-29,9320.0
Casos nuevos sin notificar,2020-06-29,
Casos nuevos con sintomas,2020-06-30,2690.0
Casos totales,2020-06-30,279393.0
Casos recuperados,2020-06-30,
Fallecidos,2020-06-30,5688.0
Casos activos,2020-06-30,32476.0
Casos nuevos sin sintomas,2020-06-30,338.0
Casos nuevos totales,2020-06-30,3394.0
Casos activos por FD,2020-06-30,94944.0
Casos activos por FIS,2020-06-30,32476.0
Casos recuperados por FIS,2020-06-30,241229.0
Casos recuperados por FD,2020-06-30,178761.0
Casos confirmados recuperados,2020-06-30,241229.0
Casos activos confirmados,2020-06-30,32476.0
Casos probables acumulados,2020-06-30,30582.0
Casos activos probables,2020-06-30,8385.0
Casos nuevos sin notificar,2020-06-30,
Casos nuevos con sintomas,2020-07-01,2134.0
Casos totales,2020-07-01,282043.0
Casos recuperados,2020-07-01,
Fallecidos,2020-07-01,5753.0
Casos activos,2020-07-01,30847.0
Casos nuevos sin sintomas,2020-07-01,300.0
Casos nuevos totales,2020-07-01,2650.0
Casos activos por FD,2020-07-01,61415.0
Casos activos por FIS,2020-07-01,30847.0
Casos recuperados por FIS,2020-07-01,245443.0
Casos recuperados por FD,2020-07-01,214875.0
Casos confirmados recuperados,2020-07-01,245443.0
Casos activos confirmados,2020-07-01,30847.0
Casos probables acumulados,2020-07-01,30980.0
Casos activos probables,2020-07-01,7806.0
Casos nuevos sin notificar,2020-07-01,
Casos nuevos con sintomas,2020-07-02,2042.0
Casos totales,2020-07-02,284541.0
Casos recuperados,2020-07-02,
Fallecidos,2020-07-02,5920.0
Casos activos,2020-07-02,29374.0
Casos nuevos sin sintomas,2020-07-02,230.0
Casos nuevos totales,2020-07-02,2498.0
Casos activos por FD,2020-07-02,59438.0
Casos activos por FIS,2020-07-02,29374.0
Casos recuperados por FIS,2020-07-02,249247.0
Casos recuperados por FD,2020-07-02,219183.0
Casos confirmados recuperados,2020-07-02,249247.0
Casos activos confirmados,2020-07-02,29374.0
Casos probables acumulados,2020-07-02,32013.0
Casos activos probables,2020-07-02,7921.0
Casos nuevos sin notificar,2020-07-02,
Casos nuevos con sintomas,2020-07-03,2703.0
Casos totales,2020-07-03,288089.0
Casos recuperados,2020-07-03,
Fallecidos,2020-07-03,6051.0
Casos activos,2020-07-03,28695.0
Casos nuevos sin sintomas,2020-07-03,322.0
Casos nuevos totales,2020-07-03,3548.0
Casos activos por FD,2020-07-03,56696.0
Casos activos por FIS,2020-07-03,28695.0
Casos recuperados por FIS,2020-07-03,253343.0
Casos recuperados por FD,2020-07-03,225342.0
Casos confirmados recuperados,2020-07-03,253343.0
Casos activos confirmados,2020-07-03,28695.0
Casos probables acumulados,2020-07-03,32578.0
Casos activos probables,2020-07-03,7543.0
Casos nuevos sin notificar,2020-07-03,
Casos nuevos con sintomas,2020-07-04,2951.0
Casos totales,2020-07-04,291847.0
Casos recuperados,2020-07-04,
Fallecidos,2020-07-04,6192.0
Casos activos,2020-07-04,28210.0
Casos nuevos sin sintomas,2020-07-04,371.0
Casos nuevos totales,2020-07-04,3758.0
Casos activos por FD,2020-07-04,55099.0
Casos activos por FIS,2020-07-04,28210.0
Casos recuperados por FIS,2020-07-04,257445.0
Casos recuperados por FD,2020-07-04,230556.0
Casos confirmados recuperados,2020-07-04,257445.0
Casos activos confirmados,2020-07-04,28210.0
Casos probables acumulados,2020-07-04,33933.0
Casos activos probables,2020-07-04,7986.0
Casos nuevos sin notificar,2020-07-04,
Casos nuevos con sintomas,2020-07-05,2852.0
Casos totales,2020-07-05,295532.0
Casos recuperados,2020-07-05,
Fallecidos,2020-07-05,6308.0
Casos activos,2020-07-05,28194.0
Casos nuevos sin sintomas,2020-07-05,438.0
Casos nuevos totales,2020-07-05,3685.0
Casos activos por FD,2020-07-05,53177.0
Casos activos por FIS,2020-07-05,28194.0
Casos recuperados por FIS,2020-07-05,261030.0
Casos recuperados por FD,2020-07-05,236047.0
Casos confirmados recuperados,2020-07-05,261032.0
Casos activos confirmados,2020-07-05,28194.0
Casos probables acumulados,2020-07-05,34651.0
Casos activos probables,2020-07-05,7785.0
Casos nuevos sin notificar,2020-07-05,
Casos nuevos con sintomas,2020-07-06,2354.0
Casos totales,2020-07-06,298557.0
Casos recuperados,2020-07-06,
Fallecidos,2020-07-06,6384.0
Casos activos,2020-07-06,27804.0
Casos nuevos sin sintomas,2020-07-06,404.0
Casos nuevos totales,2020-07-06,3025.0
Casos activos por FD,2020-07-06,51594.0
Casos activos por FIS,2020-07-06,27804.0
Casos recuperados por FIS,2020-07-06,264369.0
Casos recuperados por FD,2020-07-06,240579.0
Casos confirmados recuperados,2020-07-06,264371.0
Casos activos confirmados,2020-07-06,27804.0
Casos probables acumulados,2020-07-06,34901.0
Casos activos probables,2020-07-06,7263.0
Casos nuevos sin notificar,2020-07-06,
Casos nuevos con sintomas,2020-07-07,1946.0
Casos totales,2020-07-07,301019.0
Casos recuperados,2020-07-07,
Fallecidos,2020-07-07,6434.0
Casos activos,2020-07-07,26340.0
Casos nuevos sin sintomas,2020-07-07,266.0
Casos nuevos totales,2020-07-07,2462.0
Casos activos por FD,2020-07-07,50252.0
Casos activos por FIS,2020-07-07,26340.0
Casos recuperados por FIS,2020-07-07,268245.0
Casos recuperados por FD,2020-07-07,244333.0
Casos confirmados recuperados,2020-07-07,268245.0
Casos activos confirmados,2020-07-07,26340.0
Casos probables acumulados,2020-07-07,35134.0
Casos activos probables,2020-07-07,6536.0
Casos nuevos sin notificar,2020-07-07,
Casos nuevos con sintomas,2020-07-08,1638.0
Casos totales,2020-07-08,303083.0
Casos recuperados,2020-07-08,
Fallecidos,2020-07-08,6573.0
Casos activos,2020-07-08,24807.0
Casos nuevos sin sintomas,2020-07-08,265.0
Casos nuevos totales,2020-07-08,2064.0
Casos activos por FD,2020-07-08,48667.0
Casos activos por FIS,2020-07-08,24807.0
Casos recuperados por FIS,2020-07-08,271703.0
Casos recuperados por FD,2020-07-08,247843.0
Casos confirmados recuperados,2020-07-08,271703.0
Casos activos confirmados,2020-07-08,24807.0
Casos probables acumulados,2020-07-08,35905.0
Casos activos probables,2020-07-08,6513.0
Casos nuevos sin notificar,2020-07-08,
Casos nuevos con sintomas,2020-07-09,2395.0
Casos totales,2020-07-09,306216.0
Casos recuperados,2020-07-09,
Fallecidos,2020-07-09,6682.0
Casos activos,2020-07-09,24612.0
Casos nuevos sin sintomas,2020-07-09,432.0
Casos nuevos totales,2020-07-09,3133.0
Casos activos por FD,2020-07-09,47152.0
Casos activos por FIS,2020-07-09,24612.0
Casos recuperados por FIS,2020-07-09,274922.0
Casos recuperados por FD,2020-07-09,252382.0
Casos confirmados recuperados,2020-07-09,274922.0
Casos activos confirmados,2020-07-09,24612.0
Casos probables acumulados,2020-07-09,36640.0
Casos activos probables,2020-07-09,6518.0
Casos nuevos sin notificar,2020-07-09,
Casos nuevos con sintomas,2020-07-10,2392.0
Casos totales,2020-07-10,309274.0
Casos recuperados,2020-07-10,
Fallecidos,2020-07-10,6781.0
Casos activos,2020-07-10,24440.0
Casos nuevos sin sintomas,2020-07-10,460.0
